X,Y,field_1,Issue Date,Violation Location,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,Fine Level 2 Amount,Curr Amt Due,Ticket Queue,Ticket Queue Date,Notice Level,Hear Decision,bike block,Count,Latitude,Longitude
-87.603916,41.8020004,0,1/4/2016 12:50,4114 S DREXEL AVE,R259827,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,DODG,150,300,0,Paid,2/26/2016 11:48,DETR,Y,TRUE,2,41.8020004,-87.603916
-87.603916,41.8020004,1,1/4/2016 12:51,4114 S DREXEL AVE,K586663,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,LINC,150,300,0,Dismissed,3/11/2016 13:32,VIOL,Y,TRUE,2,41.8020004,-87.603916
-87.6395939,41.8787283,2,1/4/2016 10:35,245 S CANAL,3145TX,IL,TXI,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,112.25,Notice,1/7/2016 2:32,FINL,N,TRUE,1,41.8787283,-87.6395939
-87.6304174,41.8920348,3,1/4/2016 9:35,540 N DEARBORN ST,5540927,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,RROV,150,300,-150,Paid,3/24/2016 21:22,DETR,N,TRUE,1,41.8920348,-87.6304174
-87.6241901,41.8675253,4,1/2/2016 11:42,1200 S MICHIGAN AVE,L594703,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,CHEV,150,300,0,Paid,1/29/2016 18:58,VIOL,N,TRUE,2,41.8675253,-87.6241901
-87.6393529,41.8711793,5,1/5/2016 15:05,836 S CANAL,159759EN,IL,ENV,940060,PARK/STAND ON BICYCLE PATH,498,FORD,150,300,0,Paid,1/11/2016 21:19,,N,TRUE,1,41.8711793,-87.6393529
-87.6409687,41.8800494,6,1/5/2016 12:48,113 S CLINTON ST,P926389,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,JEEP,150,300,0,Paid,4/17/2016 10:11,DETR,N,TRUE,1,41.8800494,-87.6409687
-87.635314,41.882304,7,1/7/2016 10:30,3 N FRANKLIN ST,K380469,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,BMW,150,300,0,Paid,2/8/2016 21:20,VIOL,N,TRUE,1,41.882304,-87.635314
-87.6632323,41.926491,8,1/7/2016 10:37,2447 N SOUTHPORT,K395697,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,JAGU,150,300,0,Paid,1/11/2016 10:35,,N,TRUE,1,41.926491,-87.6632323
-87.6272948,41.8743802,9,1/7/2016 8:30,15 E HARRISON,157402,NE,TRK,940060,PARK/STAND ON BICYCLE PATH,498,INTL,150,300,0,Paid,1/25/2016 21:23,,N,TRUE,3,41.8743802,-87.6272948
-87.716264,41.8848691,10,1/3/2016 2:25,3553 W LAKE ST,E598521,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,CHRY,150,300,0,Paid,4/22/2016 10:51,SEIZ,N,TRUE,1,41.8848691,-87.716264
-87.716098,41.884858,11,1/3/2016 2:28,3539 W LAKE ST,Z474129,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,KIA,150,300,366,Notice,1/14/2016 2:23,SEIZ,N,TRUE,1,41.884858,-87.716098
-87.7151447,41.8849187,12,1/3/2016 2:31,3538 W LAKE,2492338,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,HYUN,150,300,150,Define,1/11/2016 21:05,,N,TRUE,1,41.8849187,-87.7151447
-87.7151885,41.8850868,13,1/3/2016 2:45,3540 W LAKE,613S147,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,CHEV,150,300,255.61,Notice,1/14/2016 2:23,DLS,N,TRUE,1,41.8850868,-87.7151885
-87.7598531,41.8803104,14,1/1/2016 16:28,5358 W MADISON,547S173,IL,TMP,940060,PARK/STAND ON BICYCLE PATH,15,PONT,150,300,366,Notice,2/10/2016 22:42,FINL,N,TRUE,1,41.8803104,-87.7598531
-87.6294377,41.8824623,15,1/8/2016 10:28,12 N DEARBORN ST,ASK3737,AZ,PAS,940060,PARK/STAND ON BICYCLE PATH,498,TOYT,150,300,150,Define,1/11/2016 21:07,,N,TRUE,3,41.8824623,-87.6294377
-87.6338765,41.8832277,16,1/8/2016 10:20,200 W WASHINGTON STREET,E922119,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,NISS,150,300,81.27,Notice,3/25/2016 19:00,SEIZ,N,TRUE,1,41.8832277,-87.6338765
-87.6601385,41.9704691,17,1/1/2016 21:10,4850 N BROADWAY,118HKF,FL,PAS,940060,PARK/STAND ON BICYCLE PATH,20,TOYT,150,300,366,Notice,1/20/2016 22:51,SEIZ,N,TRUE,2,41.9704691,-87.6601385
-87.754734,41.8804016,18,1/2/2016 15:55,5152 W MADISON ST,E427093,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,NISS,150,300,366,Notice,1/14/2016 3:26,SEIZ,N,TRUE,1,41.8804016,-87.754734
-87.7545226,41.880617,19,1/2/2016 16:00,5146 W MADISON ST,E989152,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,CHEV,150,300,366,Notice,1/14/2016 3:26,SEIZ,N,TRUE,4,41.880617,-87.7545226
-87.754394,41.880661,20,1/2/2016 16:00,5140 W MADISON ST,Z337599,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,HYUN,150,300,366,Notice,2/24/2016 14:32,FINL,Y,TRUE,2,41.880661,-87.754394
-87.590773,41.754292,21,1/1/2016 3:00,7900 S SOUTH CHICAGO,Y737790,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,4,KIA,150,300,235.9,Bankruptcy,10/4/2016 8:44,SEIZ,N,TRUE,1,41.754292,-87.590773
-87.7606537,41.8801147,22,1/2/2016 17:30,5411 W MADISON ST,R477817,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,15,NISS,150,300,366,Notice,1/14/2016 3:30,SEIZ,N,TRUE,2,41.8801147,-87.7606537
-87.638375,41.868535,23,1/12/2016 13:58,1155 S CANAL,L385752,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,MERZ,150,300,0,Dismissed,3/31/2016 11:19,VIOL,Y,TRUE,5,41.868535,-87.638375
-87.638375,41.868535,24,1/12/2016 13:58,1155 S CANAL,A462784,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,JAGU,150,300,0,Paid,3/28/2016 20:17,DETR,N,TRUE,5,41.868535,-87.638375
-87.719072,41.8649042,25,1/1/2016 21:49,1241 S INDEPENDENCE,2289575,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,2,FORD,150,300,150,Define,1/14/2016 21:04,,N,TRUE,1,41.8649042,-87.719072
-87.6269321,41.8578255,26,1/4/2016 14:33,10 E 18TH STR,Z352798,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,145,CHRY,150,300,0,Paid,2/22/2016 13:13,DETR,N,TRUE,1,41.8578255,-87.6269321
-87.6387877,41.8675244,27,1/13/2016 13:50,1101 S CANAL ST,Z187170,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,498,HYUN,150,300,0,Paid,2/16/2016 11:23,VIOL,N,TRUE,8,41.8675244,-87.6387877
-87.6527174,41.8780189,28,1/7/2016 11:19,1016 W JACKSON,S871164,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,NISS,150,300,0,Paid,3/4/2016 12:56,DETR,N,TRUE,1,41.8780189,-87.6527174
-87.703342,41.877634,29,1/7/2016 7:35,3056 W JACKSON,6530585,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,CHEV,150,300,0,Dismissed,2/10/2016 13:19,,Y,TRUE,1,41.877634,-87.703342
-87.73387,41.882334,30,1/10/2016 9:26,4318 W WASHINGTON,V844183,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,SATR,150,300,0,Dismissed,3/12/2016 11:37,VIOL,Y,TRUE,1,41.882334,-87.73387
-87.731304,41.8806489,31,1/8/2016 11:02,4214 W MADISON,E279448,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,11,PONT,150,300,366,Notice,1/21/2016 1:07,DLS,N,TRUE,1,41.8806489,-87.731304
-87.6271094,41.8534712,32,1/8/2016 14:50,2121 S STATE ST,E269846,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,MERZ,150,300,0,Paid,1/15/2016 21:22,,N,TRUE,1,41.8534712,-87.6271094
-87.6271283,41.854254,33,1/8/2016 15:21,2058 S STATE ST,AWSMGOD,IL,PAS,940060,PARK/STAND ON BICYCLE PATH,1,LEXU,150,300,0,Paid,2/3/2016 21:21,VIOL,N,TRUE,1,41.854254,-87.6271283
