Issue Date/Time,Street Number,Street Direction,Street Name,License Plate,License Plate State,License Plate Type,Violation Code,Violation Code Description,Unit,Vehicle Make,Fine Level 1 Amt,Fine Leve 2 Amt,Current Amt Due,Ticket Queue,Ticket Queue Date,Notice Level,Location,Latitude,Longitude
01/02/2017 19:31:00,348,N,DEARBORN,V818253,IL,TMP,0940060,PARK/STAND ON BICYCLE PATH,211,BMW,$150.00,$300.00,$150.00,Define,01/11/2017 21:06:16,,"348 N DEARBORN Chicago, IL",41.8883886,-87.6295405
01/02/2017 19:59:00,1944,N,HALSTED ST,R114997,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0502,BMW,$150.00,$300.00,$0.00,Dismissed,02/25/2017 11:54:35,,"1944 N HALSTED ST Chicago, IL",41.9172874,-87.6487514
01/03/2017 10:55:00,613,W,HARRISON,S925935,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,$150.00,$300.00,$0.00,Paid,02/22/2017 09:20:03,DETR,"613 W HARRISON Chicago, IL",41.8743756,-87.6427415
01/03/2017 10:56:00,617,W,HARRISON,Q621613,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHRY,$150.00,$300.00,$300.00,Notice,01/11/2017 23:42:37,FINL,"617 W HARRISON Chicago, IL",41.8743753,-87.642766
01/03/2017 11:22:00,25,E,WASHINGTON STREET,ZY34831,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,AUDI,$150.00,$300.00,$0.00,Dismissed,03/10/2017 10:53:09,VIOL,"25 E WASHINGTON STREET Chicago, IL",41.8830478,-87.62682
01/03/2017 13:42:00,2145,S,STATE,Z863649,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,211,NISS,$150.00,$300.00,$0.00,Paid,03/05/2017 15:21:03,DETR,"2145 S STATE Chicago, IL",41.8531913,-87.6268219
01/03/2017 17:09:00,16,N,DEARBORN ST,ZY25845,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,NISS,$150.00,$300.00,$300.00,Notice,01/12/2017 00:38:03,SEIZ,"16 N DEARBORN ST Chicago, IL",41.8824961,-87.6297352
01/03/2017 19:38:00,1258,S,INDEPENDENCE,X522249,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,002,INFI,$150.00,$300.00,$0.00,Paid,05/18/2017 11:18:03,DETR,"1258 S INDEPENDENCE Chicago, IL",41.8645771,-87.7204949
01/04/2017 09:37:00,2748,W,ROOSEVELT,B615370,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,NISS,$150.00,$300.00,$0.00,Paid,01/26/2017 11:46:02,,"2748 W ROOSEVELT Chicago, IL",41.8665142,-87.6952282
01/04/2017 09:38:00,2748,W,ROOSEVELT,V363137,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,FORD,$150.00,$300.00,$300.00,Notice,01/26/2017 00:14:33,SEIZ,"2748 W ROOSEVELT Chicago, IL",41.8665142,-87.6952282
01/04/2017 09:40:00,2748,W,ROOSEVELT,Z213033,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,011,NISS,$150.00,$300.00,$0.00,Paid,06/28/2017 16:02:03,FINL,"2748 W ROOSEVELT Chicago, IL",41.8665142,-87.6952282
