X,Y,Service Request No,Description,Type Code,Created Date,Location,Address,Latitude,Longitude
-87.6724245,41.8672328,17-00588579,- Other - See next question - There are two vehicles parked at an angle so that one's rear end is completely blocking the bike lane and the other in such a way as the front end is partially blocking the bike lane. This is a constant problem at this locati,Bicycle Program,1-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.67238,41.875814,17-00607058,#NAME?,Bicycle Program,2-Feb-17,1841 W OGDEN AVE,"1841 W OGDEN AVE , Chicago,IL",41.875814,-87.67238
-87.6724245,41.8672328,17-00607072,#NAME?,Bicycle Program,2-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.640085,41.870883,17-00670828,#NAME?,Bicycle Program,6-Feb-17,840 S CANAL ST,"840 S CANAL ST , Chicago,IL",41.870883,-87.640085
-87.6724245,41.8672328,17-00738517,#NAME?,Bicycle Program,10-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-00835021,"- Other - See next question - Just like yesterday (and almost everyday), there is a vehicle parked at an angle that is blocking the bike lane in front of the Chicago Lighthouse (http://api.ning.com/files/KZdONCIBf2D51xOmoxCmQYX6*TpLf230VlT3vmj7qXpyqwtuEE3",Bicycle Program,15-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-00854301,#NAME?,Bicycle Program,16-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-00984663,#NAME?,Bicycle Program,21-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6293093,41.878156,17-00986903,Rideshare drivers parking in designated bike lanes on Dearborn and Jackson - OTHER - RIDESHARE DRIVERS PARKING IN BIKE LANES - dearborn and jackson - Dearborn and Jackson,Police Miscellaneous,21-Feb-17,300 S DEARBORN ST,"300 S DEARBORN ST , Chicago,IL",41.878156,-87.6293093
-87.6724245,41.8672328,17-01001214,- Bike Lane Request - Every day (http://XXXXXXXXX.XXX)someone fully or partially blocks the bike lane by parking like this. They are usually there all day long.,Bicycle Program,22-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
-87.6724245,41.8672328,17-01099045,"- Bike Lane Request - Another day, another violation (http://api.ning.com/files/UNdbGkqHoSruIjH5j0uPAJoIRdVPV2bZvKRoTkuK8JHRyf9OxVbWBMk7-3O-ZmI4LYEbY*1c1wrtyyuixaAyTZaO-aC4NAYk/IMG_6065.JPG)",Bicycle Program,27-Feb-17,1850 W ROOSEVELT RD,"1850 W ROOSEVELT RD , Chicago,IL",41.8672328,-87.6724245
