,Issue Date,Violation Location,License Plate Number,License Plate State,License Plate Type,Violation Code,Violation Description,Unit,Vehicle Make,Fine Level 1 Amount,Fine Level 2 Amount,Curr Amt Due,Ticket Queue,Ticket Queue Date,Notice Level,Hear Decision,bike block
918,1/3/2005 1:51:00 PM,2435 N CLARK,942D610,IL,TMP,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,100,200,0.0,Dismissed,3/28/2005 3:00:20 AM,,N,True
3869,1/4/2005 9:43:00 AM,1514 S WABASH,Y118036,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,JEEP,100,200,0.0,Paid,1/18/2005 9:12:20 PM,VIOL,N,True
10505,1/3/2005 1:11:00 PM,1648 N WELLS,Y403240,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,TOYT,100,200,0.0,Paid,3/25/2005 9:11:32 PM,FINL,N,True
12334,1/5/2005 10:02:00 AM,2933 N HALSTED ST,7493314,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,BUIC,100,200,0.0,Paid,6/15/2005 11:20:58 AM,DETR,Y,True
18158,1/7/2005 10:32:00 AM,2804 N HALSTED ST,E128904,IL,ENV,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,100,200,0.0,Paid,5/16/2005 9:09:03 PM,FINL,N,True
23069,1/7/2005 10:24:00 AM,4054 W 26TH ST,7141845,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,JEEP,100,200,0.0,Paid,2/8/2005 9:17:26 PM,VIOL,N,True
23070,1/7/2005 10:29:00 AM,4329 W 21ST ST,Y523505,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,FORD,100,200,244.0,Notice,1/12/2005 10:31:33 PM,SEIZ,N,True
25227,1/8/2005 11:04:00 AM,1510 N WELLS,4421513,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,CHEV,100,200,0.0,Paid,1/20/2005 9:14:13 PM,,N,True
25333,1/8/2005 11:21:00 AM,2269 N LINCOLN,3905941,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,ROV,100,200,0.0,Paid,4/27/2005 4:09:33 PM,FINL,Y,True
29824,1/11/2005 1:25:00 PM,2253 N LINCOLN,2666100,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,NISS,100,200,0.0,Dismissed,3/15/2005 10:07:20 AM,DETR,Y,True
30436,1/11/2005 11:54:00 AM,1302 S WABASH,1447217,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,100,200,0.0,Paid,11/7/2005 10:32:39 AM,SEIZ,N,True
33023,1/9/2005 7:50:00 PM,4805 N DAMEN,3540338,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,020,FORD,100,200,0.0,Paid,3/9/2005 2:19:59 PM,DETR,Y,True
33038,1/10/2005 1:07:00 PM,4839 N DAMEN,2157119,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,020,FORD,100,200,0.0,Paid,2/9/2005 4:30:52 PM,VIOL,N,True
42483,1/13/2005 10:27:00 AM,2621 N HALSTED ST,J782440,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,TOYT,100,200,0.0,Paid,6/17/2005 11:30:31 AM,DETR,Y,True
42819,1/13/2005 5:13:00 PM,1415 N WELLS,5361996,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MERZ,100,200,0.0,Paid,1/20/2005 9:15:16 PM,,N,True
43464,1/12/2005 10:36:00 AM,847 W WASHINGTON BLVD,EANDR4,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MERC,100,200,0.0,Paid,2/9/2005 10:10:55 AM,VIOL,N,True
43558,1/13/2005 11:35:00 AM,835 W WASHINGTON BLVD,4727793,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,VOLV,100,200,0.0,Paid,1/19/2005 9:15:34 PM,,N,True
43705,1/13/2005 11:42:00 AM,6008 N WINTHROP,5584018,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,ACUR,100,200,0.0,Paid,11/1/2005 2:45:09 PM,FINL,Y,True
49343,1/14/2005 12:02:00 PM,1421 W TAYLOR,3759203,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,VOLV,100,200,0.0,Paid,2/10/2005 9:15:37 PM,VIOL,N,True
49345,1/14/2005 12:30:00 PM,1438 W TAYLOR,TBG1261,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,MERZ,100,200,0.0,Paid,1/19/2005 9:15:46 PM,,N,True
55417,1/13/2005 6:27:00 PM,6825 S DREXEL BLVD,7838223,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,021,CADI,100,200,200.0,Bankruptcy,5/26/2015 9:34:09 AM,DLS,N,True
62464,1/19/2005 11:42:00 AM,1055 W TAYLOR,3350545,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,LEXU,100,200,0.0,Paid,2/24/2005 10:01:02 AM,DETR,N,True
66194,1/15/2005 10:50:00 AM,4335 W 26TH ST,4607109,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,CHEV,100,200,0.0,Paid,8/26/2005 1:39:51 PM,FINL,N,True
66195,1/15/2005 11:09:00 AM,4213 W 26TH ST,3620053,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,CHEV,100,200,0.0,Paid,2/17/2005 9:18:35 PM,VIOL,N,True
66219,1/15/2005 6:12:00 PM,1331 S CENTRAL PARK,160E665,IL,TMP,0940060,PARK/STAND ON BICYCLE PATH,010,OLDS,100,200,200.0,Notice,9/28/2009 12:31:19 PM,DLS,N,True
70180,1/17/2005 9:58:00 PM,1213 W FULLERTON,AA68437,AZ,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,FORD,100,200,0.0,Paid,1/29/2008 9:23:14 PM,FINL,N,True
72940,1/16/2005 11:40:00 AM,4217 W 26TH ST,3941127,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,CHEV,100,200,0.0,Paid,3/10/2005 9:08:45 PM,DETR,N,True
73105,1/15/2005 9:05:00 PM,1529 S CENTRAL PARK,779A758,IL,TMP,0940060,PARK/STAND ON BICYCLE PATH,010,TOYT,100,200,0.0,Paid,6/3/2014 2:58:04 PM,SEIZ,N,True
80468,1/18/2005 11:08:00 AM,4010 W 26TH ST,3437928,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,CHEV,100,200,0.0,Paid,3/16/2005 11:44:27 AM,DETR,N,True
97764,1/24/2005 1:46:00 PM,1559 N WELLS,638D437,IL,TMP,0940060,PARK/STAND ON BICYCLE PATH,018,LEXU,100,200,0.0,Paid,10/20/2005 12:30:48 PM,DLS,Y,True
102748,1/27/2005 2:37:00 PM,1423 W TAYLOR,6931692,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,100,200,0.0,Paid,2/2/2005 9:20:53 PM,,N,True
104008,1/25/2005 12:45:00 PM,1715 N WELLS,6760537,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,VOLV,100,200,0.0,Paid,5/10/2005 7:43:21 PM,FINL,N,True
106536,1/23/2005 3:15:00 AM,4157 W 26TH ST,5921719,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,010,MERC,100,200,0.0,Paid,11/15/2015 9:12:24 AM,SEIZ,N,True
115694,1/29/2005 11:26:00 AM,3709 N HALSTED PARKWAY,DPRIVD3,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,LINC,100,200,0.0,Paid,3/21/2005 9:18:53 PM,DETR,Y,True
115844,1/29/2005 2:53:00 PM,647 W ARMITAGE,2542562,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,100,200,0.0,Paid,2/25/2005 9:12:26 PM,VIOL,N,True
128973,2/1/2005 4:45:00 PM,1207 N WELLS,7120299,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,GMC,100,200,0.0,Paid,3/31/2005 9:15:02 PM,DETR,N,True
130983,2/2/2005 12:50:00 PM,408 N WELLS,4496899,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,JEEP,100,200,0.0,Paid,8/8/2005 12:43:02 PM,SEIZ,N,True
140461,1/18/2005 12:30:00 PM,1415 S WABASH,DRY1965,PA,PAS,0940060,PARK/STAND ON BICYCLE PATH,495,HOND,100,200,0.0,Paid,4/3/2006 6:21:10 PM,SEIZ,N,True
150006,2/2/2005 12:29:00 PM,1710 N WELLS,6966307,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,VOLK,100,200,0.0,Paid,5/5/2005 9:10:19 PM,FINL,N,True
153457,2/4/2005 12:34:00 PM,2245 W PRATT BLVD,7267979,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,100,200,244.0,Notice,6/24/2005 7:01:45 PM,DLS,N,True
153463,2/4/2005 12:54:00 PM,2425 W PRATT BLVD,J434153,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,HOND,100,200,0.0,Paid,2/9/2005 9:19:16 PM,,N,True
174762,2/7/2005 9:20:00 AM,1640 N WELLS,865796,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,MERZ,100,200,75.0,Notice,2/16/2005 10:48:08 PM,,N,True
178314,2/5/2005 5:40:00 PM,4825 S DREXEL,NCE375,TN,PAS,0940060,PARK/STAND ON BICYCLE PATH,021,DODG,100,200,100.0,Define,2/14/2005 9:00:34 PM,,N,True
185162,2/8/2005 4:05:00 AM,4927 W WASHINGTON,7427835,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,015,CHEV,100,200,200.0,Notice,9/1/2016 2:46:03 PM,DLS,N,True
191817,2/14/2005 12:11:00 PM,4255 W 26TH ST,6955239,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,0498,FORD,100,200,0.0,Paid,3/16/2005 9:18:38 PM,VIOL,N,True
194336,2/9/2005 11:49:00 AM,1051 W ARMITAGE,5416539,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,018,BMW,100,200,0.0,Paid,8/5/2005 3:23:33 PM,DETR,Y,True
195333,2/9/2005 5:45:00 PM,1231 S WABASH,4615755,IL,PAS,0940060,PARK/STAND ON BICYCLE PATH,001,CHRY,100,200,0.0,Paid,5/15/2015 4:17:02 PM,DLS,N,True
